"1","STATE","YEAR","COLLEGES","REGULAR","DISTANCE"
"2","US-AK","2010","300","191592","20"
"3","US-AL","2010","338282","188609","92521"
"4","US-AR","2010","345397","197528","98902"
"5","US-AZ","2010","309398","182230","98768"
"6","US-CA","2010","300574","197713","98370"
"7","US-CO","2010","296074","199148","86129"
"8","US-CT","2010","338600","182113","84536"
"9","US-DC","2010","302861","185910","92382"
"10","US-DE","2010","348185","189417","84438"
"11","US-FL","2010","284302","182850","95664"
"12","US-GA","2010","313393","188744","82637"
"13","US-HI","2010","301087","187813","66642"
"14","US-IA","2010","350573","181151","66935"
"15","US-ID","2010","321810","194332","91167"
"16","US-IL","2010","313544","185763","65129"
"17","US-IN","2010","352539","187157","98170"
"18","US-KS","2010","302621","188050","91925"
"19","US-KY","2010","291369","190579","83497"
"20","US-LA","2010","353042","193486","95728"
"21","US-MA","2010","305518","197218","84232"
"22","US-MD","2010","287882","199401","62603"
"23","US-ME","2010","324515","192897","96102"
"24","US-MI","2010","348890","192173","64814"
"25","US-MN","2010","352195","197108","86632"
"26","US-MO","2010","340458","197803","72496"
"27","US-MS","2010","337693","197155","95769"
"28","US-MT","2010","341351","193866","64412"
"29","US-NC","2010","358887","181854","70019"
"30","US-ND","2010","286633","186187","79601"
"31","US-NE","2010","336778","195057","60255"
"32","US-NH","2010","340031","193867","97684"
"33","US-NJ","2010","352042","189528","82770"
"34","US-NM","2010","324739","186280","65989"
"35","US-NV","2010","294955","199501","98869"
"36","US-NY","2010","331547","181064","68758"
"37","US-OH","2010","326503","185102","74537"
"38","US-OK","2010","324941","185439","60160"
"39","US-OR","2010","334957","199887","67706"
"40","US-PA","2010","322120","181383","88822"
"41","US-RI","2010","290855","188351","77158"
"42","US-SC","2010","327237","191131","79426"
"43","US-SD","2010","302013","181804","60437"
"44","US-TN","2010","348822","188009","97248"
"45","US-TX","2010","326628","187009","78587"
"46","US-UT","2010","359746","196414","88609"
"47","US-VA","2010","297730","193452","61926"
"48","US-VT","2010","346816","185475","99718"
"49","US-WA","2010","292307","198423","84268"
"50","US-WI","2010","289643","193835","80446"
"51","US-WV","2010","341256","194279","61442"
"52","US-WY","2010","348547","196475","69176"
"53","US-AK","2011","316958","197277","92231"
"54","US-AL","2011","289555","184450","99599"
"55","US-AR","2011","331169","181507","97835"
"56","US-AZ","2011","295817","196278","77050"
"57","US-CA","2011","357552","195173","66132"
"58","US-CO","2011","292523","197795","68883"
"59","US-CT","2011","320888","198000","67011"
"60","US-DC","2011","342682","183212","82555"
"61","US-DE","2011","336002","185024","63931"
