
Organization,Facility,Measure,"Sub Date",Numerator,Denominator,Percentage
"Albany Medical Center","Albany Medical Center","Linkage – Scheduling of First Visit",10/01/2014,5,5,"100 %"
"Albany Medical Center","Albany Medical Center","Linkage – Scheduling of First Visit",12/01/2014,5,5,"100 %"
"Albany Medical Center","Albany Medical Center","Linkage – Scheduling of First Visit",02/01/2015,6,6,"100 %"
"Albany Medical Center","Albany Medical Center","Linkage – Scheduling of First Visit",04/01/2015,2,2,"100 %"
"Albany Medical Center","Albany Medical Center","Linkage – Scheduling of First Visit",06/01/2015,8,8,"100 %"
"Albany Medical Center","Albany Medical Center","Linkage – Scheduling of First Visit",08/01/2015,7,7,"100 %"
"Albany Medical Center","Albany Medical Center","Linkage – Scheduling of First Visit",10/01/2015,4,4,"100 %"
"Albany Medical Center","Albany Medical Center","Linkage – Scheduling of First Visit",12/01/2015,9,10,"90 %"
"Albany Medical Center","Albany Medical Center","Linkage – Scheduling of First Visit",03/01/2016,3,3,"100 %"
"Albany Medical Center","Albany Medical Center","Linkage – Scheduling of First Visit",06/01/2016,13,13,"100 %"
