"1","State-code","Sub-division hospital","District hospital","Mobile Medical Unit"
"2","AN","171","47","87"
"3","AP","103","11","43"
"4","AR","127","90","98"
"5","AS","155","119","60"
"6","BR","223","18","47"
"7","CH","86","47","81"
"8","CT","69","145","47"
"9","DD","143","122","64"
"10","DL","166","113","95"
"11","DN","131","63","51"
"12","GA","78","91","78"
"13","GJ","33","15","84"
"14","HP","153","51","90"
"15","HR","59","120","41"
"16","JH","221","83","91"
"17","JK","148","16","47"
"18","KA","100","132","73"
"19","KL","38","142","55"
"20","LD","189","23","88"
"21","MH","154","127","72"
"22","ML","107","141","36"
"23","MN","209","148","88"
"24","MP","44","57","56"
"25","MZ","212","148","66"
"26","NL","243","82","57"
"27","OR","227","116","50"
"28","PB","35","95","67"
"29","PY","244","54","46"
"30","RJ","190","106","53"
"31","SK","86","95","71"
"32","TG","30","17","75"
"33","TN","68","134","30"
"34","TR","222","95","73"
"35","UP","65","18","68"
"36","UT","70","145","69"
"37","WB","129","96","98"
