"1","State-code","Sub-division hospital","District hospital","Mobile Medical"
"2","IN-AN","62","53","71"
"3","IN-AP","235","60","90"
"4","IN-AR","58","23","72"
"5","IN-AS","146","103","82"
"6","IN-BR","185","50","62"
"7","IN-CH","220","37","44"
"8","IN-CT","247","77","83"
"9","IN-DD","22","30","31"
"10","IN-DL","223","106","35"
"11","IN-DN","206","12","31"
"12","IN-GA","226","127","66"
"13","IN-GJ","118","132","97"
"14","IN-HP","163","73","76"
"15","IN-HR","107","43","36"
"16","IN-JH","49","70","77"
"17","IN-JK","208","21","81"
"18","IN-KA","78","11","97"
"19","IN-KL","20","147","48"
"20","IN-LD","121","133","62"
"21","IN-MH","193","107","60"
"22","IN-ML","146","117","43"
"23","IN-MN","206","97","97"
"24","IN-MP","203","75","83"
"25","IN-MZ","124","70","43"
"26","IN-NL","134","152","71"
"27","IN-OR","82","99","51"
"28","IN-PB","62","135","54"
"29","IN-PY","217","82","93"
"30","IN-RJ","246","156","67"
"31","IN-SK","70","73","34"
"32","IN-TG","149","36","78"
"33","IN-TN","146","14","35"
"34","IN-TR","83","147","53"
"35","IN-UP","57","65","46"
"36","IN-UT","65","87","39"
"37","IN-WB","106","33","99"
