"Link","Unique ","Secondary Unique","Classification","Main website link","Location","Viable Employment","Zip Code","Jobs listed on site","Description"
"http://www.bethabrahamhealthservices.org/","Beth Abraham Health Services","","Health Care/Health System/Hospital","bethabrahamhealthservices.org","Bronx","1","10467","Yes",""
"http://bronxbroncos.com/schedule.aspx?path=baseball","Bronx Community College Athletics ","","Academic Institution","bronxbroncos.com","Bronx","3","NA","",""
"http://www.bchnhealth.org/","Bronx Community Health Network","","Health Care/Health System/Hospital","bchnhealth.org","Bronx","1","10458","",""
"http://bronxconnect.org/","Bronx Connect","","Non Profit Organization","bronxconnect.org","Bronx","1","10455","",""
"http://www.bronxarts.org/communitylinks.asp","Bronx Council on the Arts","","Non Profit Organization","bronxarts.org","Bronx","1","10461","",""
"http://www.bronxdefenders.org/get-involved/events/","Bronx Defenders","","Non Profit Organization","bronxdefenders.org","Bronx","1","10451","",""
"http://bronxdoc.org/about","Bronx Documentary Center","","Non Profit Organization","bronxdoc.org","Bronx","1","10451","",""
"http://www.bxconsortium.org/uploads/2/5/2/4/25243029/health_home_white_pages_-_bronx_consortium.pdf","Bronx Health and Housing Consortium","","Non Profit Organization","bxconsortium.org","Bronx","1","10452","",""
"http://www.bronxhealthlink.org/tbhl/?","Bronx Health Link","","Non Profit Organization","bronxhealthlink.org","Bronx","1","10451","",""
"http://www.bxscience.edu/apps/news/show_news.jsp?REC_ID=357924&id=1","Bronx High School of Science","","Non Profit Organization","bxscience.edu","Bronx","1","10468","",""
"http://www.thebronxinstitute.org/","Bronx Institute at Lehman College","","Non Profit Organization","thebronxinstitute.org","Bronx","1","10468","",""
"http://www.bronxmall.com/commboards/orgs5.html","Bronx Mall","","Blog/Database/Directory/Information/Listings","bronxmall.com","Bronx","1","NA","",""
"http://bronxreentry.org/community-based-organizations/","Bronx Reentry Working Group","","Non Profit Organization","bronxreentry.org","Bronx","1","NA","",""
"https://bronxrhio.org/","Bronx RHIO","","Non Profit Organization","bronxrhio.org","Bronx","1","10461","",""
