"1","State Code","       Rural","      Urban","       Total"
"2","IN-AN","69715","107690","72581"
"3","IN-AP","187732","83735","44113"
"4","IN-AR","42976","70194","172225"
"5","IN-AS","29850","98634","160225"
"6","IN-BR","144986","23061","122613"
"7","IN-CH","48262","90500","2752"
"8","IN-CT","147846","81902","91572"
"9","IN-DD","67818","102611","5129"
"10","IN-DL","166057","128644","124215"
"11","IN-DN","124745","20877","90558"
"12","IN-GA","133805","12347","22072"
"13","IN-GJ","82972","132808","7550"
"14","IN-HP","69353","129750","68300"
"15","IN-HR","98347","16467","6498"
"16","IN-JH","49718","139265","161042"
"17","IN-JK","38886","53102","77777"
"18","IN-KA","187421","109028","14464"
"19","IN-KL","25905","99308","155153"
"20","IN-LD","40392","54821","2091"
"21","IN-MH","86026","41192","120910"
"22","IN-ML","134005","118758","33304"
"23","IN-MN","11790","72399","126604"
"24","IN-MP","115528","156017","109472"
"25","IN-MZ","53258","44174","115215"
"26","IN-NL","111391","4132","71812"
"27","IN-OR","89211","6308","104868"
"28","IN-PB","129387","111429","123976"
"29","IN-PY","96562","68094","129212"
"30","IN-RJ","154453","60290","182137"
"31","IN-SK","36920","20836","97791"
"32","IN-TG","50298","41685","19671"
"33","IN-TN","118039","8673","149427"
"34","IN-TR","5865","71679","71290"
"35","IN-UP","129735","61267","137633"
"36","IN-UT","57794","129739","97009"
"37","IN-WB","17073","128513","147292"
