IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,FALSE,TRUE,1533,15,28,25,17,1142878,1898863,2007,04/15/2016 08:55:02 AM,41.87852563,-87.75084801,"(41.87852563, -87.750848011)"
486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,712,7,16,68,17,1171618,1866832,2007,04/15/2016 08:55:02 AM,41.79004596,-87.64626161,"(41.790045959, -87.646261611)"
890,THEFT,FROM BUILDING,"SCHOOL, PRIVATE, BUILDING",FALSE,FALSE,1814,18,43,7,6,1173271,1915214,2007,04/15/2016 08:55:02 AM,41.92277341,-87.63876548,"(41.922773412, -87.63876548)"
1350,CRIMINAL TRESPASS,TO STATE SUP LAND,CHA PARKING LOT/GROUNDS,TRUE,FALSE,134,1,3,33,26,1176685,1888774,2007,04/15/2016 08:55:02 AM,41.85014407,-87.62702109,"(41.85014407, -87.627021086)"
610,BURGLARY,FORCIBLE ENTRY,OTHER,TRUE,FALSE,1524,15,37,25,5,1141535,1905162,2007,04/15/2016 08:55:02 AM,41.89583577,-87.75562358,"(41.895835765, -87.755623582)"
610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,FALSE,FALSE,511,5,9,49,5,1181716,1837251,2007,04/15/2016 08:55:02 AM,41.70864505,-87.61014703,"(41.708645048, -87.610147031)"
810,THEFT,OVER $500,STREET,FALSE,FALSE,714,7,15,67,6,1166029,1865247,2007,04/15/2016 08:55:02 AM,41.78581726,-87.66679997,"(41.785817262, -87.666799971)"
820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,733,7,17,68,6,1169552,1857555,2007,04/15/2016 08:55:02 AM,41.7646338,-87.65410572,"(41.764633799, -87.654105718)"
1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1233,12,25,31,14,1168958,1891066,2007,04/15/2016 08:55:02 AM,41.85660442,-87.65531384,"(41.856604415, -87.655313842)"
460,BATTERY,SIMPLE,STREET,FALSE,FALSE,2324,19,44,6,17,1168959,1924261,2007,04/15/2016 08:55:02 AM,41.94769355,-87.6543458,"(41.947693546, -87.654345798)"
486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,TRUE,FALSE,432,4,10,52,17,1201171,1836923,2007,04/15/2016 08:55:02 AM,41.70727454,-87.53891372,"(41.707274541, -87.53891372)"
520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,RESIDENCE,TRUE,FALSE,522,5,34,49,22,1176074,1830987,2007,04/15/2016 08:55:02 AM,41.69158389,-87.63099547,"(41.691583891, -87.630995465)"
1330,CRIMINAL TRESPASS,TO LAND,ABANDONED BUILDING,TRUE,FALSE,1311,12,1,24,26,1158002,1907205,2007,04/15/2016 08:55:02 AM,41.90112174,-87.69508772,"(41.901121744, -87.695087716)"
486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,TRUE,TRUE,735,7,17,67,17,1166229,1857975,2007,04/15/2016 08:55:02 AM,41.7658577,-87.66627349,"(41.765857696, -87.666273489)"
486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,1531,15,37,25,17,1142173,1906357,2007,04/15/2016 08:55:02 AM,41.89910317,-87.75325064,"(41.899103172, -87.75325064)"
810,THEFT,OVER $500,STREET,FALSE,FALSE,1911,19,47,4,6,1157199,1931436,2007,04/15/2016 08:55:02 AM,41.96762967,-87.697377,"(41.967629674, -87.697376999)"
560,ASSAULT,SIMPLE,APARTMENT,TRUE,FALSE,1413,14,26,22,23,1153196,1914412,2007,04/15/2016 08:55:02 AM,41.92099516,-87.71254905,"(41.920995157, -87.712549053)"
1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,914,9,12,58,14,1160380,1877099,2007,04/15/2016 08:55:02 AM,41.81845897,-87.68718533,"(41.818458974, -87.687185332)"
486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,FALSE,TRUE,1531,15,28,25,17,1143975,1904873,2007,04/15/2016 08:55:02 AM,41.89499728,-87.74666914,"(41.894997282, -87.74666914)"
554,ASSAULT,AGG PO HANDS NO/MIN INJURY,POLICE FACILITY/VEH PARKING LOT,TRUE,FALSE,423,4,7,46,23,1195973,1848891,2007,04/15/2016 08:55:02 AM,41.74024581,-87.55755346,"(41.740245809, -87.557553455)"
486,BATTERY,DOMESTIC BATTERY SIMPLE,OTHER,TRUE,TRUE,133,1,2,33,17,1180536,1888993,2007,04/15/2016 08:55:02 AM,41.85065723,-87.61288072,"(41.850657231, -87.612880723)"
810,THEFT,OVER $500,STREET,FALSE,FALSE,2131,2,5,41,6,1186581,1868684,2007,04/15/2016 08:55:02 AM,41.79478675,-87.59133849,"(41.794786752, -87.59133849)"
486,BATTERY,DOMESTIC BATTERY SIMPLE,VACANT LOT/LAND,FALSE,TRUE,734,7,17,67,17,1169610,1855482,2007,04/15/2016 08:55:02 AM,41.75894396,-87.65395314,"(41.758943962, -87.653953141)"
1310,CRIMINAL DAMAGE,TO PROPERTY,CHA APARTMENT,FALSE,FALSE,1332,12,2,28,14,1162039,1901185,2007,04/15/2016 08:55:02 AM,41.884519,-87.68042773,"(41.884519001, -87.680427727)"
1330,CRIMINAL TRESPASS,TO LAND,PARKING LOT/GARAGE(NON.RESID.),TRUE,FALSE,2333,19,43,7,26,1172951,1916239,2007,04/15/2016 08:55:02 AM,41.92559316,-87.6399108,"(41.925593163, -87.639910799)"
610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,FALSE,FALSE,522,5,34,53,5,1178042,1826454,2007,04/15/2016 08:55:02 AM,41.67910041,-87.62392709,"(41.679100407, -87.623927085)"
051A,ASSAULT,AGGRAVATED: HANDGUN,BAR OR TAVERN,TRUE,FALSE,421,4,7,43,22,1194010,1853067,2007,04/15/2016 08:55:02 AM,41.75175343,-87.56460882,"(41.751753433, -87.564608821)"
620,BURGLARY,UNLAWFUL ENTRY,"SCHOOL, PRIVATE, BUILDING",FALSE,FALSE,122,1,42,32,5,1176336,1901423,2007,04/15/2016 08:55:02 AM,41.8848616,-87.62792048,"(41.8848616, -87.627920479)"
320,ROBBERY,STRONGARM - NO WEAPON,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,1824,18,42,8,3,1175478,1908077,2007,04/15/2016 08:55:02 AM,41.90313984,-87.6308711,"(41.903139836, -87.630871102)"
1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,726,7,15,67,14,1163467,1862027,2007,04/15/2016 08:55:02 AM,41.77703527,-87.67628373,"(41.777035272, -87.67628373)"
1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1322,12,1,24,14,1163100,1907340,2007,04/15/2016 08:55:02 AM,41.90138659,-87.67635854,"(41.90138659, -87.676358537)"
820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1531,15,28,25,6,1142225,1904375,2007,04/15/2016 08:55:02 AM,41.89366337,-87.75310888,"(41.893663367, -87.753108876)"
031A,ROBBERY,ARMED: HANDGUN,STREET,FALSE,FALSE,513,5,9,49,3,1178824,1833211,2007,04/15/2016 08:55:02 AM,41.69762489,-87.6208601,"(41.697624892, -87.620860102)"
1330,CRIMINAL TRESPASS,TO LAND,SIDEWALK,TRUE,FALSE,134,1,2,33,26,1177085,1890060,2007,04/15/2016 08:55:02 AM,41.85366391,-87.62551413,"(41.853663905, -87.625514131)"
554,ASSAULT,AGG PO HANDS NO/MIN INJURY,STREET,TRUE,FALSE,414,4,7,43,23,1192895,1853345,2007,04/15/2016 08:55:02 AM,41.75254355,-87.56868565,"(41.752543553, -87.568685646)"
486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,FALSE,TRUE,1433,14,1,24,17,1165653,1910733,2007,04/15/2016 08:55:02 AM,41.91064318,-87.66688431,"(41.910643177, -87.66688431)"
460,BATTERY,SIMPLE,SIDEWALK,FALSE,FALSE,2311,19,46,3,17,1166493,1930666,2007,04/15/2016 08:55:02 AM,41.96532238,-87.66322608,"(41.965322378, -87.663226076)"
051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,FALSE,FALSE,533,5,9,54,22,1182323,1817550,2007,04/15/2016 08:55:02 AM,41.65456872,-87.60853111,"(41.65456872, -87.60853111)"
1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1212,12,27,28,14,1167931,1900774,2007,04/15/2016 08:55:02 AM,41.88326614,-87.65880346,"(41.883266138, -87.658803456)"
560,ASSAULT,SIMPLE,RESIDENCE PORCH/HALLWAY,TRUE,FALSE,422,4,7,46,23,1196882,1852804,2007,04/15/2016 08:55:02 AM,41.75096084,-87.55409323,"(41.750960844, -87.554093229)"
1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,FALSE,FALSE,735,7,17,67,14,1166579,1857319,2007,04/15/2016 08:55:02 AM,41.76405009,-87.6650093,"(41.764050088, -87.6650093)"
486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,TRUE,FALSE,931,9,16,61,17,1165848,1871825,2007,04/15/2016 08:55:02 AM,41.80387194,-87.66727674,"(41.803871938, -87.667276739)"
820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1823,18,27,8,6,1173686,1905962,2007,04/15/2016 08:55:02 AM,41.89737624,-87.63751642,"(41.897376241, -87.637516424)"
2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,FALSE,FALSE,2311,19,46,3,26,1166197,1931671,2007,04/15/2016 08:55:02 AM,41.96808648,-87.66428554,"(41.968086482, -87.664285541)"
486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,TRUE,FALSE,413,4,8,47,17,1185125,1845316,2007,04/15/2016 08:55:02 AM,41.7306971,-87.59741066,"(41.730697101, -87.597410656)"
560,ASSAULT,SIMPLE,RESIDENCE,FALSE,FALSE,1322,12,1,24,23,1165194,1907379,2007,04/15/2016 08:55:02 AM,41.90144935,-87.66866597,"(41.901449346, -87.668665974)"
