year,boro,uhf,sex,risk,hivdx,concurrent,linked30d,linked60d,linked3m,linked12m,newdx_ret,vls_6m,VLS_12m,AIDS_12m,AIDS_24m,Med_CD4,hivdx_rate,AIDSdx,PLWDHI,incare,Ret,VLtest,VLS,PLWDHI_rate,Deaths,Death_rate
2002sep,All,All,All,All,5224,.,.,.,.,.,.,.,.,.,.,.,.,4801,.,.,.,.,.,.,2896,31.7
2002sep,All,All,Female,All,1668,.,.,.,.,.,.,.,.,.,.,.,.,1508,.,.,.,.,.,.,896,33.5
2002sep,All,All,Female,Heterosexual,814,.,.,.,.,.,.,.,.,.,.,.,.,644,.,.,.,.,.,.,288,25
2002sep,All,All,Female,Injection drug use history (IDU),228,.,.,.,.,.,.,.,.,.,.,.,.,311,.,.,.,.,.,.,386,43.3
2002sep,All,All,Female,Perinatal,1,.,.,.,.,.,.,.,.,.,.,.,.,25,.,.,.,.,.,.,12,3.4
2002sep,All,All,Female,Unknown,625,.,.,.,.,.,.,.,.,.,.,.,.,525,.,.,.,.,.,.,205,31.9
2002sep,All,All,Male,All,3556,.,.,.,.,.,.,.,.,.,.,.,.,3293,.,.,.,.,.,.,2000,30.3
2002sep,All,All,Male,Heterosexual,350,.,.,.,.,.,.,.,.,.,.,.,.,392,.,.,.,.,.,.,120,26.2
2002sep,All,All,Male,Injection drug use history (IDU),372,.,.,.,.,.,.,.,.,.,.,.,.,575,.,.,.,.,.,.,825,37.1
2002sep,All,All,Male,MSM-IDU,98,.,.,.,.,.,.,.,.,.,.,.,.,140,.,.,.,.,.,.,86,32.4
2002sep,All,All,Male,Men who have sex with men (MSM),1613,.,.,.,.,.,.,.,.,.,.,.,.,1136,.,.,.,.,.,.,437,18.4
2002sep,All,All,Male,Perinatal,0,.,.,.,.,.,.,.,.,.,.,.,.,14,.,.,.,.,.,.,6,14
2002sep,All,All,Male,Unknown,1123,.,.,.,.,.,.,.,.,.,.,.,.,1034,.,.,.,.,.,.,515,38
2002sep,Bronx,All,All,All,1175,.,.,.,.,.,.,.,.,.,.,.,.,1130,.,.,.,.,.,.,717,36.4
2002sep,Bronx,All,Female,All,488,.,.,.,.,.,.,.,.,.,.,.,.,435,.,.,.,.,.,.,278,36.8
2002sep,Bronx,All,Female,Heterosexual,214,.,.,.,.,.,.,.,.,.,.,.,.,156,.,.,.,.,.,.,89,31.9
2002sep,Bronx,All,Female,Injection drug use history (IDU),72,.,.,.,.,.,.,.,.,.,.,.,.,109,.,.,.,.,.,.,137,35.8
2002sep,Bronx,All,Female,Perinatal,0,.,.,.,.,.,.,.,.,.,.,.,.,8,.,.,.,.,.,.,3,2.9
2002sep,Bronx,All,Female,Unknown,202,.,.,.,.,.,.,.,.,.,.,.,.,162,.,.,.,.,.,.,48,30.2
2002sep,Bronx,All,Male,All,687,.,.,.,.,.,.,.,.,.,.,.,.,695,.,.,.,.,.,.,439,34.9
2002sep,Bronx,All,Male,Heterosexual,84,.,.,.,.,.,.,.,.,.,.,.,.,85,.,.,.,.,.,.,20,17.6
2002sep,Bronx,All,Male,Injection drug use history (IDU),107,.,.,.,.,.,.,.,.,.,.,.,.,155,.,.,.,.,.,.,231,37.5
2002sep,Bronx,All,Male,MSM-IDU,18,.,.,.,.,.,.,.,.,.,.,.,.,23,.,.,.,.,.,.,19,26.2
2002sep,Bronx,All,Male,Men who have sex with men (MSM),184,.,.,.,.,.,.,.,.,.,.,.,.,150,.,.,.,.,.,.,58,27.9
2002sep,Bronx,All,Male,Perinatal,0,.,.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,.,.,0,0
2002sep,Bronx,All,Male,Unknown,294,.,.,.,.,.,.,.,.,.,.,.,.,278,.,.,.,.,.,.,110,41.5
