"variables","total_observations_for_each_variable","missing_observations",""
"(No. of rows = 369766)","","",""
"StateID","369453","N=313,","99.9153518711834"
"","","0.00084648129","0"
"District_ID","369450","N= 316,","99.91454054726503"
"","","0.00085459453","0"
"Taluka_ID","369450","N=316,","99.91454054726503"
"","","0.00085459453","0"
"HealthBlock_ID","369678","N=88,","99.97620116506116"
"","","0.00023798835","0"
"PHC_ID","369472","N=294,","99.92049025599974"
"","","0.00079509744","0"
"SubCentre_ID","369455","N=311,","99.91589275379565"
"","","0.00084107246","0"
"Village_ID","369678","N=88,","99.97620116506116"
"","","0.00023798835","0"
"Financial_Year","369455","N=311,","99.91589275379565"
"","","0.00084107246","0"
"Registration date","369450","N=316,","99.91454054726503"
"","","0.00085459453","0"
"Gender","369666","N=100","99.97295586938768"
"","","0.00027044131","0"
"Date of Birth","369377","N=389","99.89479833191803"
"","","0.00105201668","0"
"Birth Place","49464","N=320302","13.377108766084497"
"","","0.8662289123","0"
"Mother_RCH_ID_No","130508","N=239258","35.29475397954382"
"","","0.6470524602","0"
"Mother_Case_no","369388","N=378,","99.89777318628538"
"","","0.00102226814","0"
"Child_MCTS_ID_No","369196","N=570,","99.8458484555097"
"","","-0.00154151544","0"
"","","","0"
"Address","369479","N=287,","99.9223833451426"
"","","0.077616655","0"
"","","%","0"
"Weight","333562","N=36204,","90.20894295311088"
"","","7.086643986","0"
"","","%","0"
"Fully_Immunized","355579","N=14187","96.16324919002828"
"","","3.83675081","0"
"","","%","0"
"Received_AllVaccines","364604","N=5162,","98.60398197779135"
"","","1.396018022","0"
"","","%","0"
"BCG_Dt","283819","N=85947 (","76.75638106261799"
"","","23.24361894","0"
"","","%)","0"
"BCG_ANM_ID","283822","N=85944 (","76.75719238653636"
"","","23.24280761","0"
"","","%)","0"
"BCG_ASHA_ID","305988","N=63778(","82.75179437806612"
"","","17.24820562","0"
"","","%)","0"
"OPV0_Dt","249085","N=120681 (","67.36287273573016"
"","","32.63712726","0"
"","","%)","0"
"OPV0_ANM_ID","244303","N=125463 (","66.06962240984839"
"","","33.93037759","0"
"","","%)","0"
"OPV0_ASHA_ID","242599","N=127167 (","65.60879042421423"
"","","34.39120958","0"
"","","%)","0"
"OPV1_Dt","255718","N=114048(","69.15670991924623"
"","","30.84329008","0"
"","","%)","0"
"OPV1_ANM_ID","256094","N=113672","69.25839585034859"
"","","(","0"
"","","30.74160415","0"
"","","%)","0"
"OPV1_ASHA_ID","271922","N=97844 (","73.5389408436687"
"","","26.46105916","0"
"","","%)","0"
"OPV2_Dt","230669","N=139097 (","62.382425642162886"
"","","37.61757436","0"
"","","%)","0"
"OPV2_ANM_ID","230964","N=138802","62.46220582746926"
"OPV2_ASHA_ID","244723","N=125043(","66.1832077584202"
"","","33.81679224","0"
"","","%)","0"
"OPV3_Dt","207015","N= 162751","55.985406987121586"
"","","(","0"
"","","44.01459301","0"
"","","%)","0"
"OPV3_ANM_ID","207309","N=162457","56.06491673112185"
"","","(","0"
"","","43.93508327","0"
"","","%)","0"
"OPV3_ASHA_ID","219637","N=150129","59.39891715301028"
"OPVBooster_Dt","85714","N=284052(","23.180606113055283"
"","","76.81939389","0"
"","","%)","0"
"OPVBooster_ANM_ID","86002","N=283764(","23.258493209218802"
"","","77.79622788%)","0"
"OPVBooster_ASHA_ID","90729","N=279037 (","24.536869263263796"
"","","75.46313074","0"
"","","%)","0"
"DPT1_Dt","171131","N=198635 (","46.28089115819194"
"","","53.71910884","0"
"","","%)","0"
"DPT1_ANM_ID","171192","N=198574 (","46.297388077865456"
"","","53.70261192","0"
"","","%)","0"
"DPT1_ASHA_ID","183006","N=186760(","49.4923816684065"
"","","50.50761833","0"
"","","%)","0"
"DPT2_Dt","152626","N=217140 (","41.27637478837968"
"","","58.72362521","0"
"","","%)","0"
"DPT2_ANM_ID","152494","N=217272 (","41.240676535971396"
"","","58.75932346","0"
"","","%)","0"
"DPT2_ASHA_ID","163455","N=206311 (","44.20498369238924"
"","","55.79501631","0"
"","","%)","0"
"DPT3_Dt","135851","N= 233915","36.73972187816078"
"","","(","0"
"","","63.26027812","0"
"","","%)","0"
"DPT3_ANM_ID","135804","N= 233962 (","36.72701113677299"
"","","63.27298886","0"
"","","%)","0"
"DPT3_ASHA_ID","145487","N= 224279 (","39.34569430396521"
"","","60.6543057","0"
"","","%)","0"
"DPTBooster1_Dt","18113","N=351653 (","4.898503377811913"
"","","95.10149662","0"
"","","%)","0"
"DPTBooster1_ANM_ID","6540","N=363226 (","1.7686861420465918"
"","","98.23131386","0"
"","","%)","0"
"DPTBooster1_ASHA_ID","2149","N=367617 (","0.5811783668590407"
"","","99.41882163","0"
"","","%)","0"
"DPTBooster2_Dt","69","N= 369697 (","0.018660450122509914"
"","","99.98133955","0"
"","","%)","0"
"DPTBooster2_ANM_ID","69","N=369697(","0.018660450122509914"
"","","99.98133955","0"
"","","%)","0"
"DPTBooster2_ASHA_ID","69","N=369697(","0.018660450122509914"
"","","99.98133955","0"
"","","%)","0"
"HepatitisB0_Dt","122606","N=247160 (","33.15772677855725"
"","","66.84227322","0"
"","","%)","0"
"HepatitisB0_ANM_ID","131569","N=238197 (","35.58169220534067"
"","","64.41830779","0"
"","","%)","0"
"HepatitisB0_ASHA_ID","135714","N=234052 (","36.702671419221886"
"","","63.29732858","0"
"","","%)","0"
"HepatitisB1_Dt","155950","N=213816 (","42.17532168993363"
"","","57.82467831","0"
"","","%)","0"
"HepatitisB1_ANM_ID","156540","N=213226 (","42.3348820605464"
"","","57.66511794","0"
"","","%)","0"
"HepatitisB1_ASHA_ID","166665","N=203101 (","45.073100285045136"
"","","54.92689971","0"
"","","%)","0"
"HepatitisB2_Dt","138164","N=231602 (","37.36525261922405"
"","","62.63474738","0"
"","","%)","0"
"HepatitisB2_ANM_ID","138050","N=231716 (","37.33442231032599"
"","","62.66557769","0"
"","","%)","0"
"HepatitisB2_ASHA_ID","148475","N=221291 (","40.15377292666173"
"","","59.84622707","0"
"","","%)","0"
"HepatitisB3_Dt","118797","N=250969 (","32.12761584353348"
"","","67.87238416","0"
"","","%)","0"
"HepatitisB3_ANM_ID","118684","N=251082(","32.097055975941544"
"","","67.90294402","0"
"","","%)","0"
"HepatitisB3_ASHA_ID","128041","N=241725 (","34.627575277337556"
"","","65.37242472","0"
"","","%)","0"
"Penta1_Dt","89070","N=280696 (","24.088207136405185"
"","","75.91179286","0"
"","","%)","0"
"Penta1_ANM_ID","88983","N=280783 (","24.064678742772454"
"","","75.93532126","0"
"","","%)","0"
"Penta1_ASHA_ID","93125","N=276641 (","25.184846632735297"
"","","74.81515337","0"
"","","%)","0"
"Penta2_Dt","93271","N=276495 (","25.224331063429307"
"","","74.77566894","0"
"","","%)","0"
"Penta2_ANM_ID","92912","N=276854 (","25.127242634531026"
"","","74.87275737","0"
"","","%)","0"
"Penta2_ASHA_ID","92768","N=276998 (","25.08829908644927"
"","","74.91170091","0"
"","","%)","0"
"Penta3_Dt","87421","N=282345 (","23.64224942260781"
"","","76.35775058","0"
"","","%)","0"
"Penta3_ANM_ID","87035","N=282731 (","23.537859078444207"
"","","76.46214092","0"
"","","%)","0"
"Penta3_ASHA_ID","86898","N= 282868 (","23.50080861950531"
"","","76.49919138","0"
"","","%)","0"
"Measles1_Dt","166953","N=202813 (","45.15098738120866"
"","","54.84901262","0"
"","","%)","0"
"Measles1_ANM_ID","167324","N=202442 (","45.25132110578041"
"","","54.74867889","0"
"","","%)","0"
"Measles1_ASHA_ID","179282","N=190484 (","48.48525824440322"
"","","51.51474176","0"
"","","%)","0"
"Measles2_Dt","148","N=369618 (","0.04002531330625314"
"","","99.95997469","0"
"","","%)","0"
"Measles2_ANM_ID","199","N=369567 (","0.05381781991854308"
"","","99.94618218","0"
"","","%)","0"
"Measles2_ASHA_ID","177","N=369589 (","0.047868111183829776"
"","","99.95213189","0"
"","","%)","0"
"JE1_Dt","113515","N=256251 (","30.69914486459004"
"","","69.30085514","0"
"","","%)","0"
"JE1_ANM_ID","123369","N=246397 (","33.364073495129354"
"","","66.6359265","0"
"","","%)","0"
"JE1_ASHA_ID","126618","N=243148 (","34.24273729872406"
"","","65.7572627","0"
"","","%)","0"
"JE2_Dt","15801","N=353965 (","4.27324307805477"
"","","95.72675692","0"
"","","%)","0"
"JE2_ANM_ID","6026","N=363740(","1.629679310699199"
"","","98.37032069","0"
"","","%)","0"
"JE2_ASHA_ID","2750","N=367016 (","0.7437135918391631"
"","","99.25628641","0"
"","","%)","0"
